scientific_name,common_name,listing_location,listing_region,esa_status,group
Etheostoma wapiti,Boulder darter,Shoal Creek,4,"Experimental Population, Non-Essential",Fishes
Fusconaia cuneolus,Finerayed pigtoe,"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams
Orconectes shoupi,Nashville crayfish,Wherever found,4,Endangered,Crustaceans
Pleurobema plenum,Rough pigtoe,Wherever found,4,Endangered,Clams
Ptychobranchus jonesi,Southern kidneyshell,Wherever found,4,Endangered,Clams
Marstonia ogmorhaphe,Royal marstonia (snail),Wherever found,4,Endangered,Snails
Lasmigona decorata,Carolina heelsplitter,Wherever found,4,Endangered,Clams
Fusconaia cor,Shiny pigtoe,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams
Ptychobranchus greenii,Triangular Kidneyshell,Wherever found,4,Endangered,Clams
Pegias fabula,Littlewing pearlymussel,Wherever found,4,Endangered,Clams
Amblema neislerii,Fat threeridge (mussel),Wherever found,4,Endangered,Clams
Etheostoma percnurum,Duskytail darter,Wherever found,4,Endangered,Fishes
Villosa trabalis,Cumberland bean (pearlymussel),"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams
Noturus furiosus,Carolina madtom,Wherever found,4,Endangered,Fishes
Potamilus capax,Fat pocketbook,Wherever found,4,Endangered,Clams
Epioblasma turgidula,Turgid blossom (pearlymussel),"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams
Plethobasus cooperianus,Orangefoot pimpleback (pearlymussel),Wherever found,4,Endangered,Clams
Cottus paulus (=pygmaeus),Pygmy Sculpin,Wherever found,4,Threatened,Fishes
Athearnia anthonyi,Anthony's riversnail,"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Snails
Toxolasma cylindrellus,Pale lilliput (pearlymussel),Wherever found,4,Endangered,Clams
Elliptio lanceolata,Yellow lance,Wherever found,4,Threatened,Clams
Cambarus cracens,Slenderclaw crayfish,Wherever found,4,Endangered,Crustaceans
Procambarus econfinae,Panama City crayfish,Wherever found,4,Threatened,Crustaceans
Mesodon clarki nantahala,noonday snail,Wherever found,4,Threatened,Snails
Etheostoma nuchale,Watercress darter,Wherever found,4,Endangered,Fishes
Noturus baileyi,Smoky madtom,"Tellico River, TN",4,"Experimental Population, Non-Essential",Fishes
Lemiox rimosus,Birdwing pearlymussel,"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert, and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams
Medionidus parvulus,Coosa moccasinshell,Wherever found,4,Endangered,Clams
Pleurobema plenum,Rough pigtoe,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams
Tulotoma magnifica,Tulotoma snail,Wherever found,4,Threatened,Snails
