scientific_name,common_name,listing_location,listing_region,esa_status,group,Url
Lampsilis virescens,Alabama lampmussel,"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams,https://ecos.fws.gov/ecp/species/916
Lasmigona decorata,Carolina heelsplitter,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/3534
Lemiox rimosus,Birdwing pearlymussel,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/6636
Lemiox rimosus,Birdwing pearlymussel,"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert, and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams,https://ecos.fws.gov/ecp/species/6636
Lemiox rimosus,Birdwing pearlymussel,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams,https://ecos.fws.gov/ecp/species/6636
Leptoxis ampla,Round rocksnail,Wherever found,4,Threatened,Snails,https://ecos.fws.gov/ecp/species/470
Leptoxis foremani,Interrupted (=Georgia) Rocksnail,Wherever found,4,Endangered,Snails,https://ecos.fws.gov/ecp/species/7019
Leptoxis plicata,Plicate rocksnail,Wherever found,4,Endangered,Snails,https://ecos.fws.gov/ecp/species/5614
Leptoxis taeniata,Painted rocksnail,Wherever found,4,Threatened,Snails,https://ecos.fws.gov/ecp/species/2999
Lepyrium showalteri,Flat pebblesnail,Wherever found,4,Endangered,Snails,https://ecos.fws.gov/ecp/species/2338
Lioplax cyclostomaformis,Cylindrical lioplax (snail),Wherever found,4,Endangered,Snails,https://ecos.fws.gov/ecp/species/2337
Margaritifera hembeli,Louisiana pearlshell,Wherever found,4,Threatened,Clams,https://ecos.fws.gov/ecp/species/8468
Margaritifera marrianae,Alabama pearlshell,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/3961
Marstonia ogmorhaphe,Royal marstonia (snail),Wherever found,4,Endangered,Snails,https://ecos.fws.gov/ecp/species/7836
Marstonia pachyta,Armored snail,Wherever found,4,Endangered,Snails,https://ecos.fws.gov/ecp/species/3972
Medionidus acutissimus,Alabama moccasinshell,Wherever found,4,Threatened,Clams,https://ecos.fws.gov/ecp/species/7287
Medionidus parvulus,Coosa moccasinshell,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/2575
Medionidus penicillatus,Gulf moccasinshell,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/7663
Medionidus simpsonianus,Ochlockonee moccasinshell,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/8083
Medionidus walkeri,Suwannee moccasinshell,Wherever found,4,Threatened,Clams,https://ecos.fws.gov/ecp/species/533
Menidia extensa,Waccamaw silverside,Wherever found,4,Threatened,Fishes,https://ecos.fws.gov/ecp/species/8137
Mesodon clarki nantahala,noonday snail,Wherever found,4,Threatened,Snails,https://ecos.fws.gov/ecp/species/322
Necturus alabamensis,Black warrior (=Sipsey Fork) Waterdog,Wherever found,4,Endangered,Amphibians,https://ecos.fws.gov/ecp/species/5426
Necturus lewisi,Neuse River waterdog,Wherever found,4,Threatened,Amphibians,https://ecos.fws.gov/ecp/species/6772
Notropis albizonatus,Palezone shiner,Wherever found,4,Endangered,Fishes,https://ecos.fws.gov/ecp/species/6064
Notropis cahabae,Cahaba shiner,Wherever found,4,Endangered,Fishes,https://ecos.fws.gov/ecp/species/650
Notropis mekistocholas,Cape Fear shiner,Wherever found,4,Endangered,Fishes,https://ecos.fws.gov/ecp/species/6063
Noturus baileyi,Smoky madtom,Wherever found,4,Endangered,Fishes,https://ecos.fws.gov/ecp/species/8211
Noturus baileyi,Smoky madtom,"Tellico River, TN",4,"Experimental Population, Non-Essential",Fishes,https://ecos.fws.gov/ecp/species/8211
Noturus crypticus,Chucky Madtom,Wherever found,4,Endangered,Fishes,https://ecos.fws.gov/ecp/species/7735
Noturus flavipinnis,Yellowfin madtom,"Wherever found, except where listed as an experimental population",4,Threatened,Fishes,https://ecos.fws.gov/ecp/species/8565
Noturus flavipinnis,Yellowfin madtom,U.S.A. (TN-specified portions of the Tellico River; see 17.84(e)(1)(ii)),4,"Experimental Population, Non-Essential",Fishes,https://ecos.fws.gov/ecp/species/8565
Noturus flavipinnis,Yellowfin madtom,"U.S.A. (TN, VA-specified portions of the Holston River and watershed; see 17.84(e)(1)(i))",4,"Experimental Population, Non-Essential",Fishes,https://ecos.fws.gov/ecp/species/8565
Noturus flavipinnis,Yellowfin madtom,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.84(e)(1)(iii)),4,"Experimental Population, Non-Essential",Fishes,https://ecos.fws.gov/ecp/species/8565
Noturus furiosus,Carolina madtom,Wherever found,4,Endangered,Fishes,https://ecos.fws.gov/ecp/species/528
Noturus munitus,Frecklebelly madtom,Upper Coosa River DPS,4,Threatened,Fishes,https://ecos.fws.gov/ecp/species/2800
Noturus stanauli,Pygmy madtom,Wherever found,4,Endangered,Fishes,https://ecos.fws.gov/ecp/species/7873
Noturus stanauli,Pygmy madtom,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.84(t)(1)(i)),4,"Experimental Population, Non-Essential",Fishes,https://ecos.fws.gov/ecp/species/7873
Obovaria choctawensis,Choctaw bean,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/5038
Obovaria retusa,Ring pink (mussel),U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams,https://ecos.fws.gov/ecp/species/4128
Obovaria retusa,Ring pink (mussel),Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/4128
Obovaria subrotunda,Round hickorynut,Wherever found,4,Threatened,Clams,https://ecos.fws.gov/ecp/species/9879
Orconectes shoupi,Nashville crayfish,Wherever found,4,Endangered,Crustaceans,https://ecos.fws.gov/ecp/species/7181
Orthalicus reses (not incl. nesodryas),Stock Island tree snail,Wherever found,4,Threatened,Snails,https://ecos.fws.gov/ecp/species/466
Palaemonetes cummingi,Squirrel Chimney Cave shrimp,Wherever found,4,Threatened,Crustaceans,https://ecos.fws.gov/ecp/species/1551
Palaemonias alabamae,Alabama cave shrimp,Wherever found,4,Endangered,Crustaceans,https://ecos.fws.gov/ecp/species/5307
Palaemonias ganteri,Kentucky cave shrimp,Wherever found,4,Endangered,Crustaceans,https://ecos.fws.gov/ecp/species/5008
Parvaspina steinstansana,Tar River spinymussel,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/1392
Pegias fabula,Littlewing pearlymussel,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/2572
Peltophryne lemur,Puerto Rican crested toad,Wherever found,4,Threatened,Amphibians,https://ecos.fws.gov/ecp/species/3958
Percina antesella,Amber darter,Wherever found,4,Endangered,Fishes,https://ecos.fws.gov/ecp/species/53
Percina aurolineata,Goldline darter,Wherever found,4,Threatened,Fishes,https://ecos.fws.gov/ecp/species/7005
Percina aurora,Pearl darter,Wherever found,4,Threatened,Fishes,https://ecos.fws.gov/ecp/species/3970
Percina jenkinsi,Conasauga logperch,Wherever found,4,Endangered,Fishes,https://ecos.fws.gov/ecp/species/8472
Percina williamsi,Sickle darter,Wherever found,4,Threatened,Fishes,https://ecos.fws.gov/ecp/species/9866
Phaeognathus hubrichti,Red Hills salamander,Wherever found,4,Threatened,Amphibians,https://ecos.fws.gov/ecp/species/3250
Phoxinus cumberlandensis,Blackside dace,Wherever found,4,Threatened,Fishes,https://ecos.fws.gov/ecp/species/4775
Plethobasus cicatricosus,White wartyback (pearlymussel),U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams,https://ecos.fws.gov/ecp/species/2549
Plethobasus cicatricosus,White wartyback (pearlymussel),Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/2549
Plethobasus cooperianus,Orangefoot pimpleback (pearlymussel),U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams,https://ecos.fws.gov/ecp/species/1132
Plethobasus cooperianus,Orangefoot pimpleback (pearlymussel),Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/1132
Pleurobema athearni,Canoe Creek Clubshell,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/4693
Pleurobema clava,Clubshell,"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams,https://ecos.fws.gov/ecp/species/3789
Pleurobema curtum,Black clubshell,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/5429
Pleurobema decisum,Southern clubshell,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/6113
Pleurobema furvum,Dark pigtoe,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/1519
Pleurobema georgianum,Southern pigtoe,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/1520
Pleurobema hanleyianum,Georgia pigtoe,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/6494
Pleurobema marshalli,Flat pigtoe,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/5630
Pleurobema perovatum,Ovate clubshell,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/5430
Pleurobema plenum,Rough pigtoe,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/6894
Pleurobema plenum,Rough pigtoe,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams,https://ecos.fws.gov/ecp/species/6894
Pleurobema pyriforme,Oval pigtoe,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/4132
Pleurobema strodeanum,Fuzzy pigtoe,Wherever found,4,Threatened,Clams,https://ecos.fws.gov/ecp/species/3417
Pleurobema taitianum,Heavy pigtoe,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/298
Pleurocera foremani,Rough hornsnail,Wherever found,4,Endangered,Snails,https://ecos.fws.gov/ecp/species/924
