County,Type,Category,Scientific Name,Common Name,Global Rank,State Rank,Fed. Status,State Status,Habitat,Wet Habitat Flag
Sevier,Vertebrate Animal,Fish,Percina aurantiaca,Tangerine Darter,G4,S3,--,D,"Large-moderate size headwater tribs to Tennessee River, in clear, fairly deep, rocky pools, usually below riffles.",Aquatic
Sevier,Vertebrate Animal,Fish,Percina tanasi,Snail Darter,G2G3,S2S3,LT,T,"Sand and gravel shoals of moderately flowing, vegetated, large creeks; upper Tennessee River watershed.",Aquatic
Sevier,Vertebrate Animal,Fish,Percina williamsi,Sickle Darter,G2,S2,PT,T,"Flowing pools over rocky, sandy, or silty substrates in clear creeks or small rivers; upper Tennessee River system; east TN.",Aquatic
Sevier,Invertebrate Animal,Mollusc,Plethobasus cooperianus,Orangefoot Pimpleback,G1,S1,"LE, XN",E,Large rivers in sand-gravel-cobble substrates in riffles and shoals in deep flowing water; Cumberland & Tennessee river systems.,Aquatic
Sevier,Invertebrate Animal,Mollusc,Plethobasus cyphyus,Sheepnose,G3,S2S3,LE,E,"Large to medium-sized rivers, in riffles and coarse sand/gravel subst; TN & Cumb river systems incl KY Reservoir; W Uplands & Rim.",Aquatic
Sevier,Invertebrate Animal,Mollusc,Pleurobema plenum,Rough Pigtoe,G1,S1,"LE, XN",E,"Medium to large rivers in sand, gravel, and cobble substrates of shoals; Tennessee & Cumberland river systems.",Aquatic
Sevier,Invertebrate Animal,Mollusc,Epioblasma capsaeformis,Oyster Mussel,G1,S1,"LE, XN",E,Shallow riffles in mod-swift current of small-medium rivers with coarse sand and gravel; Tennessee &amp; Cumberland river systems excluding the Duck River.,Aquatic
Sevier,Invertebrate Animal,Mollusc,Theliderma cylindrica cylindrica,Rabbitsfoot,G3G4T3,S3,LT,T,Large rivers in sand and gravel; Tennessee & Cumberland systems; big river form of Q. cylindrica.,Aquatic
Shelby,Vertebrate Animal,Fish,Cycleptus elongatus,Blue Sucker,G3G4,S2,--,T,Swift waters over firm substrates in big rivers.,Aquatic
Shelby,Vertebrate Animal,Amphibian,Acris gryllus,Southern Cricket Frog,G5,S2S3,--,"Rare, Not State Listed","Grassy margins of swamps, marshes, lakes, ponds, streams, ditches, and nearby temporary pools; far SW Tennessee.",Aquatic
Shelby,Vertebrate Animal,Fish,Noturus gladiator,Piebald Madtom,G3,S3,--,D,Large creeks & rivers in moderate-swift currents with clean sand or gravel substrates; Mississippi River tributaries.,Aquatic
Shelby,Invertebrate Animal,Mollusc,Obovaria arkansasensis,Southern Hickorynut,GNR,S1,--,"Rare, Not State Listed",Rivers with medium-sized gravel substrates and low-mod current; Wolf & Hatchie rivers; Mississippi River watershed; west Tennessee.,Aquatic
Shelby,Vascular Plant,Flowering Plant,Hottonia inflata,Featherfoil,G4,S2,--,S,Wet Sloughs And Ditches,Aquatic
Shelby,Invertebrate Animal,Mollusc,Lampsilis siliquoidea,Fatmucket,G5,S2,--,"Rare, Not State Listed","Slackwater with mud subst; Wolf R (Miss R trib); west TN; may occur at Reelfoot Lk; also rept Drakes Ck (Cumb R), Sumner Co.",Aquatic
Shelby,Vertebrate Animal,Fish,Ammocrypta beani,Naked Sand Darter,G5,S2,--,D,Shifting sand bottoms & sandy runs; Hatchie & Wolf rivers & their larger tribs.,Aquatic
Smith,Invertebrate Animal,Mollusc,Margaritifera monodonta,Spectaclecase,G3,S2S3,LE,E,"Medium to large rivers; in substrates from mud and sand to gravel, cobble, and boulders; Cumberland and Tennessee river systems.",Aquatic
Smith,Vertebrate Animal,Fish,Cycleptus elongatus,Blue Sucker,G3G4,S2,--,T,Swift waters over firm substrates in big rivers.,Aquatic
Smith,Invertebrate Animal,Mollusc,Cyprogenia stegaria,Fanshell,G1,S1,"LE, XN",E,Medium to large streams and rivers with coarse sand and gravel substrates; Cumberland and Tennessee river systems.,Aquatic
Smith,Invertebrate Animal,Mollusc,Dromus dromas,Dromedary Pearlymussel,G1,S1,"LE, XN",E,"Medium-large rivers with riffles and shoals w/ relatively firm rubble, gravel, and stable substrates; Tennessee & Cumberland systems.",Aquatic
Smith,Vertebrate Animal,Fish,Acipenser fulvescens,Lake Sturgeon,G3G4,S1,--,E,"Bottoms of large, clean rivers and lakes.",Aquatic
